frame,time_sec,L_Knee_Angle,R_Knee_Angle,L_Hip_x,L_Hip_y,R_Hip_x,R_Hip_y,L_Knee_x,L_Knee_y,R_Knee_x,R_Knee_y,L_Ankle_x,L_Ankle_y,R_Ankle_x,R_Ankle_y
0,0.000,166.9,163.2,492.75305,641.4954,428.4984,649.1566,527.9233,775.201,397.1346,778.2021,531.26953,889.46796,334.57742,884.7559
1,0.033,160.3,154.4,505.92563,642.3769,446.54263,650.28326,534.1233,778.93726,425.1156,780.713,517.88306,893.8902,352.6138,884.3788
2,0.067,151.3,148.9,525.41724,647.19385,463.73163,652.1657,547.85596,782.58435,450.2968,774.99414,510.8268,888.13824,380.64114,866.22894
3,0.100,144.6,139.5,531.3247,640.61884,476.625,645.17175,552.4057,777.96313,484.6778,773.9482,501.67365,878.84845,416.55847,864.7187
4,0.133,139.9,144.6,528.5162,634.3165,492.17847,646.27264,525.1172,757.68335,543.70135,788.82916,447.5007,844.7331,514.14594,895.08545
5,0.167,137.0,139.1,540.6958,628.6087,500.91055,637.3276,564.5948,752.96356,546.45984,768.3974,498.63715,857.8305,500.5568,883.8104
6,0.200,135.8,134.4,550.02734,626.1006,508.33008,635.35236,576.1247,748.2224,565.2952,763.16785,502.91647,864.8163,515.87933,887.8843
7,0.234,140.4,131.8,555.9067,633.29065,520.3746,640.97766,577.2959,757.1164,590.63574,759.789,505.23306,882.80566,551.39996,883.5145
8,0.267,159.9,145.9,568.27313,632.257,535.00305,637.66144,570.917,758.3793,605.55383,754.8976,524.42175,893.89825,598.6876,885.38654
9,0.300,170.5,157.2,580.5295,640.5773,557.18396,647.6867,565.5771,761.3002,621.3683,767.16156,527.50085,889.1725,633.75055,897.1685
10,0.334,179.0,166.2,600.456,643.1175,576.0209,652.1129,569.2227,758.5342,637.8856,766.36285,531.54333,888.336,672.23627,898.10345
11,0.367,177.9,169.6,603.03467,646.4849,583.21735,655.96106,569.28534,763.9485,653.0649,773.57965,528.08136,889.4925,701.7087,904.7752
12,0.400,166.5,175.5,618.86176,655.7101,604.7148,661.85126,558.4213,771.25323,667.09827,776.17053,526.8872,896.5336,723.49176,902.1096
13,0.434,167.2,175.0,629.83777,663.21484,616.61414,669.75684,563.43744,777.4812,682.661,783.2397,525.0615,900.0452,740.4833,905.92896
14,0.467,169.0,171.7,646.2946,662.3624,635.5848,669.4706,577.3581,767.70795,695.7204,781.32886,527.32007,890.3919,742.64136,910.2689
15,0.501,172.2,167.0,657.8236,659.2953,651.6296,667.70984,605.76184,774.97577,715.99384,792.16833,539.9845,880.0637,745.8872,909.2117
16,0.534,161.7,160.8,659.04584,645.32574,660.1509,656.59595,619.3777,763.8164,728.5245,790.32904,541.61084,867.8993,745.28925,911.7944
17,0.567,154.6,148.9,674.3058,649.73975,669.06256,659.1936,650.05786,765.06757,739.3844,790.2911,571.0069,868.84503,733.30457,911.59155
18,0.601,158.5,159.8,700.03564,640.7049,697.26886,651.1391,663.40753,759.61127,746.8234,790.8477,578.7118,865.7225,745.4344,918.59656
19,0.634,151.9,156.0,706.16425,641.7277,705.8507,652.93097,684.1186,759.39374,756.1915,794.8567,603.34955,860.2383,746.289,920.64056
