frame,time_sec,L_Knee_Angle,R_Knee_Angle,L_Hip_x,L_Hip_y,R_Hip_x,R_Hip_y,L_Knee_x,L_Knee_y,R_Knee_x,R_Knee_y,L_Ankle_x,L_Ankle_y,R_Ankle_x,R_Ankle_y
0,0.000,177.5,169.8,226.59555,567.57086,127.30285,566.70374,271.21082,700.0328,104.911934,752.653,316.07208,854.97363,115.81027,938.56555
1,0.033,177.2,173.3,246.34969,564.4889,143.94054,567.02783,283.92462,704.164,117.80201,745.36194,316.23944,853.29254,112.417786,932.23486
2,0.067,176.5,171.4,266.37228,563.40375,155.51953,565.79517,295.1329,703.58453,120.54985,738.1106,315.7548,849.23914,111.72011,916.7187
3,0.100,175.3,170.6,282.48904,560.7499,170.58641,563.3942,305.85983,698.4183,128.66133,738.5538,319.3625,855.81647,114.82139,935.8493
4,0.133,176.0,169.0,300.19952,552.4248,195.92474,557.4477,312.3599,704.16437,139.05746,749.9167,313.88895,855.6079,120.7608,941.775
5,0.167,170.5,170.9,315.3741,546.16003,205.36021,539.40405,325.57748,703.96564,168.85606,694.08307,310.58517,851.8035,157.78415,847.3651
6,0.200,170.1,173.3,328.6463,529.6439,224.05789,520.8095,331.64218,694.2865,197.38911,672.54047,310.25107,832.1133,189.55305,810.3303
7,0.234,174.1,174.2,342.08792,520.3215,239.6966,515.46265,337.98,687.3818,224.38733,675.8315,319.58267,831.087,225.2478,821.59717
8,0.267,178.1,172.6,354.56342,508.66583,255.75906,507.3231,348.1324,673.2954,252.2715,667.25543,337.44125,819.70703,268.37735,816.2313
9,0.300,178.3,169.0,368.93234,506.32773,268.05518,507.81134,364.38013,673.2898,276.2126,669.9822,356.05508,817.93854,311.95285,814.79114
10,0.334,177.5,170.2,385.42447,511.17712,281.70294,516.0731,390.551,678.9936,297.15335,688.33813,388.9001,813.86957,335.23398,831.5654
11,0.367,178.3,169.3,405.07004,520.66235,300.8464,526.8572,422.66016,690.51447,318.19153,701.0925,431.90903,816.02673,357.77344,835.8525
12,0.400,175.5,168.6,418.87427,525.57275,317.47516,533.1171,442.4243,689.85095,329.24725,696.72845,472.5909,824.51917,366.66763,831.4585
13,0.434,179.1,166.3,439.22314,547.078,329.33707,552.46436,477.621,700.3645,334.58688,698.9623,515.25665,841.32007,374.1329,838.86115
14,0.467,173.5,162.5,450.268,556.1756,342.72113,562.39984,500.49417,710.3348,342.25952,713.98627,555.7024,831.41077,381.41367,839.7211
15,0.501,170.6,159.6,468.97028,564.9503,363.0401,569.8038,523.2251,718.0347,347.07397,720.64716,587.241,833.88666,378.93704,844.9188
16,0.534,168.0,150.3,487.20044,578.9474,373.22122,582.2826,540.6138,731.21906,342.3315,723.2899,612.7087,849.59125,378.89117,840.4089
