Label,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
a,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
