Label,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
ikuta_kutunashi,0.0007,253,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255
ikuta_kutunashi,0.0009,255,255,255,255,255,254,255,255,255,255,255,255,255,255,254,255
ikuta_kutunashi,0.001,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
ikuta_kutunashi,0.001,255,255,255,254,255,254,255,255,255,255,255,255,255,255,255,255
ikuta_kutunashi,0.0011,255,255,255,255,255,255,255,255,255,255,255,254,255,255,255,255
ikuta_kutunashi,0.0011,255,255,255,255,254,255,254,255,255,255,255,255,255,255,255,254
ikuta_kutunashi,0.0012,255,255,255,255,254,255,255,255,255,255,255,255,255,255,255,255
ikuta_kutunashi,0.0012,255,255,255,255,254,253,255,255,255,255,255,255,255,254,254,255
ikuta_kutunashi,0.0013,255,255,255,255,255,255,255,254,255,255,255,255,255,254,255,255
ikuta_kutunashi,0.0013,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,253
ikuta_kutunashi,0.0014,142,143,142,143,141,143,142,143,142,143,142,143,142,142,142,143
ikuta_kutunashi,0.0014,135,135,135,136,135,136,135,135,135,135,135,135,135,135,135,135
ikuta_kutunashi,0.0015,134,133,133,133,133,133,133,134,133,133,133,133,132,133,133,133
ikuta_kutunashi,0.0015,127,127,127,128,127,126,127,127,128,128,126,126,127,127,127,127
ikuta_kutunashi,0.0016,125,126,125,126,125,125,126,126,126,125,126,126,126,126,125,126
ikuta_kutunashi,0.0016,123,123,122,123,123,123,122,121,123,123,122,123,122,122,123,122
ikuta_kutunashi,0.0016,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,120
ikuta_kutunashi,0.0017,118,118,117,117,117,118,116,117,118,118,118,118,118,117,117,118
ikuta_kutunashi,0.0017,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
ikuta_kutunashi,0.0018,117,116,117,117,117,116,117,117,117,116,117,117,117,117,116,116
ikuta_kutunashi,0.0018,116,117,116,116,116,116,116,116,116,116,116,116,116,116,117,116
ikuta_kutunashi,0.0019,117,117,117,116,117,117,117,117,117,117,117,116,117,117,117,117
ikuta_kutunashi,0.0019,115,115,115,114,115,115,115,115,114,115,114,115,115,114,115,114
ikuta_kutunashi,0.0019,114,113,113,113,113,113,113,114,113,114,114,113,113,113,113,114
ikuta_kutunashi,0.002,111,111,112,112,112,112,111,112,112,111,112,111,112,111,111,112
ikuta_kutunashi,0.002,112,111,112,111,112,112,111,111,112,112,111,112,112,111,111,112
ikuta_kutunashi,0.002,111,110,110,111,111,110,111,111,111,110,111,110,110,111,111,111
ikuta_kutunashi,0.0021,110,110,110,109,110,110,111,110,109,109,110,110,110,110,109,110
ikuta_kutunashi,0.0021,110,110,110,109,110,109,109,110,110,110,109,110,110,109,110,110
ikuta_kutunashi,0.0022,111,110,111,110,110,110,110,110,110,110,111,110,110,110,110,110
ikuta_kutunashi,0.0022,110,110,110,110,110,110,110,110,109,110,110,110,111,110,110,110
ikuta_kutunashi,0.0022,109,110,110,110,109,109,109,109,110,109,110,109,109,110,109,110
ikuta_kutunashi,0.0023,109,109,109,109,109,109,108,110,109,109,109,109,109,109,108,109
ikuta_kutunashi,0.0023,109,109,109,109,109,109,108,109,109,109,109,108,109,109,108,109
ikuta_kutunashi,0.0023,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
ikuta_kutunashi,0.0024,109,109,108,110,109,109,109,109,109,110,109,109,110,109,109,109
ikuta_kutunashi,0.0024,108,108,108,108,108,108,109,108,108,108,108,108,109,108,109,107
ikuta_kutunashi,0.0025,108,108,108,109,108,108,108,108,108,108,108,108,109,108,109,108
ikuta_kutunashi,0.0025,107,108,108,108,108,108,107,107,108,108,107,108,107,108,108,109
ikuta_kutunashi,0.0026,108,108,107,107,107,107,108,108,107,107,107,107,108,107,107,108
ikuta_kutunashi,0.0026,108,108,108,108,108,108,108,109,108,108,109,108,108,108,108,107
ikuta_kutunashi,0.0026,106,108,107,108,107,106,108,107,107,107,107,107,106,107,107,106
ikuta_kutunashi,0.0027,105,107,107,106,107,107,107,107,107,107,106,107,108,107,106,107
ikuta_kutunashi,0.0027,107,107,106,107,107,106,107,107,107,106,106,107,107,107,107,107
ikuta_kutunashi,0.8303,105,106,107,106,106,106,106,106,106,106,105,106,107,106,107,106
ikuta_kutunashi,2.8329,105,106,106,106,106,106,106,106,107,106,106,106,107,106,106,106
ikuta_kutunashi,4.8397,106,106,107,106,106,106,106,106,106,105,107,106,105,106,106,106
ikuta_kutunashi,5.8394,106,106,106,106,106,106,106,106,106,106,106,105,106,106,105,106
ikuta_kutunashi,7.8424,105,105,105,105,105,105,105,106,105,105,106,105,106,105,105,105
ikuta_kutunashi,9.8493,105,105,105,105,106,105,106,105,105,105,105,105,104,105,106,105
ikuta_kutunashi,10.8489,105,106,106,105,105,106,105,105,106,105,105,106,105,105,105,105
ikuta_kutunashi,12.8558,105,105,106,105,106,105,105,104,105,105,106,105,106,105,105,105
ikuta_kutunashi,13.8555,105,104,105,105,105,105,105,105,105,105,105,105,105,105,106,104
ikuta_kutunashi,15.8584,106,105,105,105,106,105,106,106,106,105,105,106,105,105,105,105
ikuta_kutunashi,17.8654,105,105,105,105,105,105,105,106,105,105,105,105,105,106,106,105
ikuta_kutunashi,18.8649,106,105,105,105,105,105,105,105,105,105,105,106,105,105,105,105
ikuta_kutunashi,20.8681,105,105,105,105,105,105,105,105,106,105,105,105,105,105,105,105
ikuta_kutunashi,22.8748,105,105,105,105,104,105,105,105,104,105,105,105,105,105,105,105
ikuta_kutunashi,23.8745,105,106,105,106,105,105,104,105,106,105,105,105,105,105,106,105
