Label,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
masamune_3,0.0003,255,255,16,7,16,23,255,50,255,255,108,255,43,8,5,163
masamune_3,0.0005,254,255,15,7,18,25,255,194,255,255,102,255,40,8,5,209
masamune_3,0.0005,255,255,55,12,24,17,255,9,255,255,98,255,40,9,5,26
masamune_3,0.0006,255,254,32,9,19,17,255,10,254,255,96,255,38,9,6,106
masamune_3,0.0007,255,255,30,8,17,15,255,7,255,254,94,255,50,10,10,252
masamune_3,0.0007,255,255,20,6,17,14,255,13,254,255,94,254,47,10,9,254
masamune_3,0.0008,255,255,24,6,17,13,255,9,255,255,97,255,47,11,6,123
masamune_3,0.3304,255,255,26,6,17,13,255,8,255,255,97,255,47,10,7,120
masamune_3,1.3339,255,255,28,7,17,13,254,8,255,255,97,254,47,10,6,104
masamune_3,2.3338,255,255,26,6,17,13,255,8,255,255,96,255,46,10,7,172
masamune_3,4.3365,255,255,27,6,17,13,255,8,255,255,99,255,50,10,6,74
masamune_3,6.3434,255,254,28,7,17,13,255,7,255,255,99,255,50,11,6,67
masamune_3,7.343,255,255,32,7,17,13,255,7,255,255,99,255,49,10,6,57
masamune_3,9.3499,255,255,30,7,17,13,255,7,255,255,100,255,48,11,5,59
masamune_3,10.3495,255,255,28,7,17,13,255,7,255,255,98,254,48,10,6,89
masamune_3,12.3525,255,255,33,7,17,13,255,6,255,255,104,255,48,11,5,51
masamune_3,14.3594,255,255,28,7,17,12,255,7,255,255,100,255,46,11,5,70
masamune_3,15.359,255,255,32,7,17,12,254,6,255,255,102,255,46,10,5,54
masamune_3,17.3659,255,254,35,8,16,12,255,6,255,255,103,254,46,11,5,54
masamune_3,18.3655,255,255,35,8,17,12,255,6,255,255,105,255,46,11,5,51
masamune_3,20.3685,255,255,36,8,16,12,255,6,255,255,104,255,46,11,5,51
masamune_3,22.3754,255,255,32,7,16,12,255,6,255,255,102,255,45,11,5,66
masamune_3,23.375,255,255,32,7,16,12,255,6,255,255,101,255,45,10,5,62
masamune_3,25.3819,255,255,31,7,16,12,255,7,255,255,100,255,44,11,5,66
masamune_3,28.3884,255,255,29,7,16,12,255,7,255,255,97,255,43,10,6,139
masamune_3,29.388,255,255,30,7,16,12,255,7,255,255,98,255,43,10,5,77
masamune_3,31.3909,255,255,31,7,16,12,255,6,255,255,101,255,45,11,5,61
masamune_3,33.3979,255,255,32,8,16,12,255,6,255,255,103,255,45,11,5,55
masamune_3,34.3975,255,255,33,8,16,12,255,6,255,255,104,254,45,11,5,52
masamune_3,36.4045,254,254,32,8,16,12,254,6,255,255,101,254,44,11,5,56
masamune_3,37.4041,255,255,31,8,16,12,255,6,255,255,102,255,44,11,5,54
masamune_3,39.407,255,255,34,8,16,12,254,6,255,255,103,255,44,11,5,56
masamune_3,41.414,255,255,32,7,16,12,255,6,255,255,100,255,44,11,5,84
masamune_3,42.4135,255,255,30,7,16,12,255,6,255,254,99,254,43,11,5,77
masamune_3,44.4204,255,255,30,7,16,12,254,6,255,255,99,255,43,11,5,66
masamune_3,45.42,255,255,31,7,16,12,254,6,255,254,100,255,43,11,5,62
masamune_3,47.423,255,255,31,7,16,12,255,6,255,255,99,255,43,11,5,80
masamune_3,49.4299,255,255,33,7,16,12,255,6,255,255,103,255,44,11,5,57
masamune_3,50.4295,255,255,35,8,17,12,255,6,255,255,108,255,45,11,5,50
masamune_3,52.4366,254,255,36,8,16,12,255,6,255,255,106,255,44,11,5,51
masamune_3,53.4361,255,254,40,9,17,12,255,5,255,255,114,255,45,11,5,44
masamune_3,55.4391,255,255,33,7,17,12,254,6,255,254,103,255,43,11,5,54
masamune_3,57.446,255,255,34,7,17,12,255,6,255,255,103,255,43,11,5,49
masamune_3,58.4455,254,255,35,8,17,12,255,6,255,255,108,255,44,11,5,45
masamune_3,60.4526,255,255,32,7,16,12,255,6,255,254,106,255,44,11,5,55
