Label,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
nihara_kutunashi,0.0003,255,48,4,14,13,255,255,12,41,37,114,254,46,36,8,254
nihara_kutunashi,0.0004,255,23,5,11,20,255,255,8,31,44,113,255,44,51,7,255
nihara_kutunashi,0.0005,255,22,5,10,20,255,255,7,29,50,112,255,46,48,6,255
nihara_kutunashi,0.0005,255,22,4,10,23,255,255,6,28,52,112,255,46,48,7,255
nihara_kutunashi,0.0006,255,21,5,11,23,255,255,5,28,57,112,255,46,63,6,255
nihara_kutunashi,0.0006,255,21,5,10,22,255,255,5,27,60,111,255,45,56,6,254
nihara_kutunashi,0.0007,254,29,5,12,24,255,255,5,49,74,110,255,56,44,6,255
nihara_kutunashi,0.0007,255,22,5,10,23,255,255,5,38,67,109,255,49,45,6,254
nihara_kutunashi,0.0007,255,20,5,10,21,255,254,6,34,62,109,255,45,46,6,255
nihara_kutunashi,0.0008,255,20,5,10,19,255,255,6,33,59,110,255,47,48,6,255
nihara_kutunashi,0.3206,255,19,5,9,19,255,254,6,37,61,109,255,48,49,6,255
nihara_kutunashi,1.3202,255,17,4,9,18,255,255,6,31,62,109,254,46,59,6,254
nihara_kutunashi,3.3231,255,18,4,9,18,255,255,6,31,63,108,255,47,61,6,254
nihara_kutunashi,5.3302,255,17,4,8,17,255,255,6,31,52,110,255,47,59,6,255
nihara_kutunashi,6.3296,255,16,4,8,18,255,255,6,27,52,109,254,43,56,6,255
nihara_kutunashi,8.3365,255,18,4,9,19,255,255,6,28,56,109,255,44,50,6,255
nihara_kutunashi,9.3362,255,17,4,8,18,255,255,6,27,55,109,255,44,52,6,255
nihara_kutunashi,11.339,255,17,4,9,19,255,255,6,28,57,109,255,43,52,6,255
nihara_kutunashi,13.346,255,16,4,8,18,255,255,6,27,57,109,255,42,52,6,255
nihara_kutunashi,14.3457,255,16,4,8,18,255,255,6,28,57,109,255,42,51,6,255
nihara_kutunashi,16.3525,255,16,4,8,17,255,255,6,27,56,109,255,41,52,6,255
nihara_kutunashi,17.3522,255,16,4,8,18,255,254,6,28,57,109,255,41,52,6,254
nihara_kutunashi,19.3551,255,17,4,8,18,255,255,6,29,60,108,255,41,51,6,255
nihara_kutunashi,21.362,254,16,4,8,18,255,255,5,28,59,108,255,40,51,6,254
nihara_kutunashi,22.3615,254,16,4,8,18,255,255,6,26,57,109,255,40,51,6,255
nihara_kutunashi,24.3685,255,16,4,8,17,255,255,6,26,57,108,255,39,54,6,255
nihara_kutunashi,25.3681,254,16,4,8,18,255,255,5,27,58,108,255,39,49,6,255
nihara_kutunashi,27.3711,255,16,4,8,17,255,254,5,26,58,109,255,38,52,6,254
nihara_kutunashi,30.3777,255,16,4,8,18,255,255,5,26,57,109,255,38,51,6,255
nihara_kutunashi,32.3846,255,16,4,8,17,255,255,6,25,56,108,254,36,52,7,255
nihara_kutunashi,33.3842,255,16,4,8,17,255,255,5,25,56,109,254,37,55,7,255
nihara_kutunashi,35.391,255,16,4,8,18,255,254,5,26,58,109,254,36,54,6,255
nihara_kutunashi,36.3908,255,15,4,8,17,255,255,5,25,55,109,255,35,53,7,254
nihara_kutunashi,38.3936,255,15,4,8,17,255,255,6,25,56,109,255,35,54,6,255
nihara_kutunashi,40.4005,255,14,4,7,17,255,255,6,24,56,108,254,34,59,6,255
nihara_kutunashi,41.4003,255,14,4,7,17,255,255,6,24,55,108,254,34,55,7,255
nihara_kutunashi,43.4074,255,14,4,7,17,255,255,6,24,54,108,255,33,57,7,255
nihara_kutunashi,44.4072,255,15,4,8,18,255,255,5,25,57,108,255,34,58,6,255
nihara_kutunashi,46.4096,255,16,4,8,19,255,254,5,24,55,108,255,33,56,6,254
nihara_kutunashi,49.4161,255,16,4,8,20,255,255,5,26,59,108,255,34,57,6,255
nihara_kutunashi,51.4232,255,15,4,7,18,255,255,5,25,57,108,255,33,56,7,255
nihara_kutunashi,52.4231,255,15,4,8,18,255,255,5,25,58,108,255,33,55,6,255
nihara_kutunashi,54.4257,254,15,4,7,17,255,255,5,24,54,108,255,33,55,7,255
nihara_kutunashi,56.4327,255,16,5,8,20,255,255,5,26,59,108,254,33,55,6,255
nihara_kutunashi,57.4325,255,16,4,8,19,255,255,5,25,57,108,255,32,55,6,255
nihara_kutunashi,59.4391,255,15,4,8,18,255,255,5,24,57,108,255,32,58,6,255
nihara_kutunashi,60.4387,255,15,4,7,18,255,255,5,25,57,108,255,32,57,6,255
