Label,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
nihara_kutunashi_2,0.0004,255,32,5,9,29,255,254,6,34,44,114,255,255,13,41,29
nihara_kutunashi_2,0.0005,255,27,5,9,33,255,255,6,40,46,113,255,255,15,39,26
nihara_kutunashi_2,0.0005,255,25,5,8,30,255,255,6,38,44,113,255,255,14,40,30
nihara_kutunashi_2,0.0006,255,25,5,8,31,255,255,6,37,44,113,255,255,13,41,31
nihara_kutunashi_2,0.0006,255,38,5,8,30,255,255,6,36,42,113,254,255,14,39,29
nihara_kutunashi_2,0.0007,255,25,5,7,27,255,254,6,34,42,113,254,255,14,39,31
nihara_kutunashi_2,0.0007,255,21,5,8,27,255,255,6,32,43,115,255,255,14,39,35
nihara_kutunashi_2,0.0008,255,20,5,7,25,255,255,6,34,46,115,255,255,13,43,38
nihara_kutunashi_2,0.0008,255,16,5,6,24,255,255,9,26,32,118,255,255,10,71,48
nihara_kutunashi_2,0.0009,255,17,5,6,27,255,255,7,29,43,118,255,255,11,51,34
nihara_kutunashi_2,0.001,255,17,5,6,27,255,255,7,29,44,118,255,255,11,52,37
nihara_kutunashi_2,0.001,255,16,5,6,28,255,255,7,27,44,119,254,255,11,55,35
nihara_kutunashi_2,0.0011,254,17,5,6,26,255,254,6,27,41,118,254,255,11,58,41
nihara_kutunashi_2,0.0012,254,17,5,6,26,255,255,6,34,41,121,255,255,10,48,44
nihara_kutunashi_2,0.0012,255,17,5,6,28,255,255,7,33,40,120,255,255,9,45,38
nihara_kutunashi_2,0.0013,255,16,5,6,26,255,255,8,28,38,118,255,255,9,62,47
nihara_kutunashi_2,0.0013,255,25,5,7,25,255,255,7,28,37,118,255,255,9,44,74
nihara_kutunashi_2,0.0014,255,17,4,6,23,255,255,9,26,36,121,255,255,9,59,68
nihara_kutunashi_2,0.0014,254,19,4,6,25,255,254,8,26,35,120,255,255,9,45,81
nihara_kutunashi_2,0.0015,255,17,4,6,28,255,255,9,23,33,116,255,255,9,48,133
nihara_kutunashi_2,0.0015,255,42,5,22,25,255,255,7,22,44,121,255,255,13,27,36
nihara_kutunashi_2,0.0016,255,33,5,10,33,255,255,7,28,42,115,255,255,10,31,31
nihara_kutunashi_2,0.0016,255,78,6,25,29,255,255,5,65,51,121,255,255,11,30,23
nihara_kutunashi_2,0.0017,255,35,4,9,20,254,255,7,47,47,117,254,255,11,43,37
nihara_kutunashi_2,0.0017,254,43,5,11,28,255,255,5,45,45,117,255,255,10,40,37
nihara_kutunashi_2,0.0017,255,35,4,9,24,255,255,7,40,38,117,255,255,8,51,38
nihara_kutunashi_2,0.0018,255,34,4,9,21,255,254,7,38,38,115,255,255,8,43,47
nihara_kutunashi_2,0.0018,255,32,4,9,21,255,255,8,35,37,116,254,254,8,46,57
nihara_kutunashi_2,0.0018,255,26,4,7,21,254,255,12,36,39,115,255,255,8,42,37
nihara_kutunashi_2,0.0019,255,27,4,7,19,255,255,8,37,40,116,255,255,9,42,47
nihara_kutunashi_2,0.0019,255,21,4,6,19,255,255,9,38,38,114,255,255,9,43,99
nihara_kutunashi_2,0.002,255,23,4,7,19,255,255,8,46,41,114,255,255,9,40,48
nihara_kutunashi_2,0.002,255,20,4,6,20,255,255,9,42,39,115,255,255,8,46,45
nihara_kutunashi_2,0.0021,255,18,4,6,19,255,255,9,40,37,114,255,254,8,52,58
nihara_kutunashi_2,0.1187,254,16,4,6,20,255,254,9,39,39,114,255,255,8,49,46
nihara_kutunashi_2,2.1257,254,12,4,5,21,255,255,9,38,39,115,255,255,9,54,56
nihara_kutunashi_2,3.1256,255,14,4,5,22,255,255,9,35,37,115,255,255,8,60,56
