Label,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
niihara,52,12,5,11,28,18,254,5,29,79,90,103,16,254,5,255
niihara,53,12,3,12,29,18,255,7,31,77,89,103,17,255,4,254
niihara,54,12,3,10,31,19,255,5,32,77,90,103,15,255,6,255
niihara,50,12,4,12,29,18,255,7,31,76,90,103,16,255,4,254
niihara,50,14,3,10,29,20,255,5,28,75,90,103,15,255,6,255
niihara,51,17,5,15,22,17,255,4,30,111,89,104,22,255,7,255
niihara,51,17,3,13,21,19,255,4,28,100,88,104,21,254,5,255
niihara,51,17,3,13,22,18,254,4,26,87,89,103,20,255,5,254
niihara,54,15,3,15,26,18,255,6,27,80,89,103,16,255,4,254
niihara,63,16,5,15,36,24,255,7,22,67,87,103,12,255,5,254
niihara,56,13,4,14,45,28,255,10,20,61,86,103,10,255,4,254
niihara,57,14,5,15,40,27,255,9,20,60,85,103,10,255,4,254
niihara,57,14,3,13,39,28,255,8,18,58,85,103,10,255,5,255
niihara,56,15,3,12,37,26,255,7,20,62,85,103,12,254,3,255
niihara,53,12,5,11,33,22,254,9,18,58,85,103,12,255,4,254
niihara,54,12,4,13,36,25,254,12,17,56,85,102,11,255,6,255
niihara,57,20,3,17,24,19,255,5,17,70,85,103,21,255,6,255
niihara,60,18,3,17,31,21,255,5,21,76,85,103,12,254,3,255
niihara,60,21,5,18,27,21,254,5,19,71,85,102,12,255,5,255
niihara,58,15,3,13,25,21,255,7,18,63,85,102,14,254,4,255
niihara,59,17,3,14,25,21,255,6,19,64,85,103,13,254,4,255
niihara,60,14,3,15,25,19,255,9,19,62,85,103,12,255,5,254
niihara,57,15,4,15,24,18,254,7,20,66,85,103,13,255,4,254
niihara,62,17,3,14,27,20,255,5,22,71,85,103,13,254,5,255
niihara,55,16,3,13,26,18,255,5,20,65,85,103,15,254,4,255
niihara,56,18,3,15,27,18,255,5,22,64,85,103,14,255,3,255
niihara,52,15,3,12,28,19,255,6,18,61,84,102,12,254,4,255
niihara,52,15,3,11,29,20,254,9,18,59,84,102,12,255,3,254
niihara,52,12,3,13,31,21,255,9,19,59,84,102,11,254,4,255
niihara,53,14,3,11,29,22,255,7,17,60,84,101,11,254,3,255
niihara,53,14,3,11,29,20,255,7,19,59,84,101,13,254,4,255
niihara,54,12,3,11,29,21,254,9,16,56,84,101,12,255,5,254
niihara,53,12,3,12,28,19,255,11,17,57,83,101,12,255,5,254
niihara,53,10,3,9,40,19,255,10,17,58,83,101,15,255,5,255
niihara,57,12,3,11,40,19,255,6,22,68,82,101,13,255,3,254
niihara,54,12,3,10,37,19,255,6,19,65,83,101,12,255,5,254
niihara,50,13,3,10,33,19,254,6,18,66,82,101,13,254,5,255
niihara,61,11,4,11,36,17,255,7,19,65,82,101,13,255,4,254
niihara,57,13,4,10,40,19,255,5,20,68,82,101,12,254,5,255
niihara,59,11,5,11,37,17,254,5,21,66,82,101,12,255,4,254
niihara,67,11,3,12,37,17,255,6,21,58,82,102,14,254,3,255
niihara,62,15,4,12,44,20,255,4,23,57,83,101,14,254,3,255
niihara,63,20,3,17,32,21,255,4,20,70,82,102,12,254,3,255
niihara,63,17,3,15,39,21,254,4,24,82,83,101,12,255,2,255
niihara,67,17,5,13,39,18,254,5,27,86,82,102,13,255,2,254
niihara,56,11,3,9,41,17,255,5,22,71,82,101,13,254,3,255
niihara,55,8,5,9,52,17,255,7,17,61,81,101,13,255,4,255
niihara,56,11,4,9,48,18,255,4,18,74,81,101,14,254,4,255
niihara,62,22,5,20,51,22,254,3,48,139,87,102,18,254,3,255
niihara,56,12,4,12,51,19,255,4,26,93,83,102,13,255,4,254
niihara,55,12,4,11,50,19,255,5,23,80,82,102,12,255,2,255
niihara,55,13,3,11,46,20,255,5,22,79,82,101,11,254,3,255
niihara,57,14,3,14,40,19,255,4,20,101,81,138,13,254,2,255
niihara,53,17,3,17,24,18,255,6,12,123,80,117,16,255,4,254
