Label,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
roujin_3,0.0003,255,255,7,3,16,39,255,255,255,255,94,255,61,10,10,255
roujin_3,0.0004,255,255,10,4,42,36,255,255,255,255,90,254,36,8,6,255
roujin_3,0.0005,255,255,31,12,48,26,255,214,255,255,88,255,23,8,4,33
roujin_3,0.0006,255,254,21,8,30,19,254,40,254,255,87,253,24,9,5,56
roujin_3,0.0006,255,255,17,7,21,16,255,20,255,255,87,255,26,12,5,118
roujin_3,0.1142,255,255,22,9,21,17,254,18,255,255,89,254,26,12,4,23
roujin_3,1.1138,255,255,30,8,42,19,254,47,255,255,91,254,26,9,4,18
roujin_3,3.1207,255,255,52,12,24,17,254,10,255,255,87,254,25,11,4,53
roujin_3,4.1203,255,255,32,20,16,14,255,5,255,255,87,255,32,18,5,255
roujin_3,6.1233,255,255,19,16,12,10,255,3,255,255,89,255,85,39,12,255
roujin_3,8.1302,255,47,8,4,38,18,255,255,70,255,85,255,72,25,255,255
roujin_3,9.1298,255,19,11,5,255,158,255,255,36,255,86,255,44,12,23,255
roujin_3,11.1368,255,255,66,7,32,14,255,14,255,255,192,254,253,6,7,42
roujin_3,12.1363,255,255,252,6,51,14,255,19,255,255,255,255,255,5,7,18
roujin_3,14.1399,255,255,22,13,13,9,255,3,255,255,135,254,108,27,18,255
roujin_3,16.1462,255,255,34,10,17,12,255,5,255,255,98,254,31,13,4,137
roujin_3,17.1458,255,255,250,84,24,16,254,4,255,255,254,255,82,19,3,20
roujin_3,19.1527,255,255,210,30,33,20,255,8,255,255,133,255,27,12,3,15
roujin_3,20.1523,255,255,67,12,23,14,255,6,255,255,96,253,27,13,3,56
roujin_3,22.1554,255,255,29,10,18,13,255,6,255,255,92,255,27,13,4,101
roujin_3,25.1618,255,255,15,6,21,13,255,27,255,254,85,255,42,14,91,255
roujin_3,27.1688,255,34,12,6,85,25,255,243,255,221,87,255,108,22,73,254
roujin_3,28.1683,255,255,13,9,24,15,255,12,255,255,87,254,31,11,8,255
roujin_3,30.1753,255,255,22,9,19,13,255,8,255,255,89,254,50,25,3,61
roujin_3,31.1749,255,255,20,8,20,13,255,9,255,255,88,255,30,13,5,184
roujin_3,33.1778,255,255,20,8,25,14,255,12,255,255,86,255,28,10,6,247
roujin_3,35.1848,254,255,10,5,89,18,255,252,56,255,84,254,48,23,50,255
roujin_3,36.1844,255,255,19,7,24,14,255,16,255,255,85,254,37,10,8,255
roujin_3,38.1913,255,255,250,25,75,42,255,42,255,255,255,254,255,7,3,9
roujin_3,39.1912,255,255,193,23,28,23,254,11,255,255,125,255,40,8,4,22
roujin_3,41.1938,255,255,255,3,20,32,254,3,255,255,97,254,55,21,6,254
roujin_3,43.2008,255,255,22,6,19,13,255,8,255,255,87,254,27,12,5,254
roujin_3,44.2004,255,255,24,8,19,16,255,8,255,255,89,254,26,13,4,29
roujin_3,46.2073,255,255,27,8,14,11,255,4,255,255,100,254,44,15,4,255
roujin_3,47.2069,255,255,20,6,15,11,255,5,255,255,88,209,32,14,5,254
roujin_3,49.2099,255,255,25,8,19,15,255,7,255,254,88,191,26,12,4,39
roujin_3,52.2164,255,255,255,4,13,33,255,3,254,255,255,255,205,108,6,255
roujin_3,54.2233,255,255,22,7,16,11,255,5,255,255,100,195,41,17,4,255
roujin_3,55.2229,255,255,10,4,33,13,255,73,232,255,85,171,43,18,31,255
roujin_3,57.2298,255,255,12,5,26,12,255,16,255,255,86,168,40,13,9,255
roujin_3,58.2295,255,255,21,9,20,15,255,7,254,255,251,255,36,16,3,26
roujin_3,60.2324,255,255,16,6,21,14,255,10,255,255,86,168,27,13,5,255
