Label,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
hashimoto_young,1.022,0,0,249,243,248,247,31,238,133,0,117,0,247,248,238,0
hashimoto_young,1.2268,0,0,249,243,248,247,20,238,141,0,117,0,247,247,238,0
hashimoto_young,1.4276,0,0,249,243,249,247,15,236,145,0,117,0,247,247,238,0
hashimoto_young,1.6322,0,0,249,243,249,247,20,236,120,0,118,0,247,248,238,0
hashimoto_young,1.833,0,0,249,242,249,247,31,238,37,0,118,0,247,248,239,0
hashimoto_young,2.0338,0,0,249,240,249,247,52,240,15,0,117,0,248,249,239,0
hashimoto_young,2.2386,0,0,248,237,248,246,60,242,0,0,116,0,248,249,239,0
hashimoto_young,2.4392,0,0,248,233,249,246,92,243,0,0,116,0,248,249,239,0
hashimoto_young,2.644,0,0,248,231,249,246,109,244,0,0,114,0,247,249,239,0
hashimoto_young,2.8447,0,0,248,232,249,246,110,244,0,0,115,0,247,249,239,0
hashimoto_young,3.0495,0,0,248,232,249,246,102,244,0,0,115,0,247,249,239,0
hashimoto_young,3.2503,0,0,248,233,249,245,81,242,5,0,115,0,247,249,239,0
hashimoto_young,3.451,0,0,249,236,249,244,62,239,122,0,116,0,247,249,239,0
hashimoto_young,3.6558,0,0,249,231,250,244,86,241,0,0,115,0,247,249,239,0
hashimoto_young,3.8565,0,0,248,215,250,242,137,244,0,0,113,0,247,249,239,0
hashimoto_young,4.0613,0,0,248,216,250,241,146,244,0,0,113,0,247,249,239,1
hashimoto_young,4.262,0,0,248,214,250,241,152,244,0,0,115,0,247,249,239,0
hashimoto_young,4.4628,0,0,248,219,250,241,129,244,0,0,116,0,247,249,239,0
hashimoto_young,4.6675,0,0,249,227,250,241,96,241,15,0,117,0,246,249,239,0
hashimoto_young,4.8682,0,0,249,230,250,241,86,241,9,0,117,0,246,249,239,1
hashimoto_young,5.0729,0,0,249,229,250,241,102,241,3,0,117,0,246,249,239,0
hashimoto_young,5.2737,0,0,249,229,250,241,103,241,1,0,117,0,246,249,239,0
hashimoto_young,5.4784,0,0,249,229,250,241,102,242,0,0,117,0,247,249,239,0
hashimoto_young,5.6793,0,0,249,228,250,241,98,242,0,0,118,0,247,249,239,0
hashimoto_young,5.88,0,0,249,229,250,241,86,241,10,0,119,0,247,249,239,0
hashimoto_young,6.0851,0,0,249,230,250,241,88,241,2,0,119,0,247,249,239,0
hashimoto_young,6.2855,0,0,249,230,250,241,80,240,10,0,120,0,247,249,239,0
hashimoto_young,6.4902,0,0,249,230,250,241,83,240,11,0,120,0,247,249,239,0
hashimoto_young,6.691,0,0,249,231,250,241,72,239,68,0,120,0,246,249,239,0
hashimoto_young,6.8917,0,0,249,231,250,241,70,239,92,0,120,0,246,249,239,0
hashimoto_young,7.0968,0,0,249,231,250,241,70,239,83,0,120,0,247,249,239,0
hashimoto_young,7.2973,0,0,249,231,250,241,72,240,27,0,120,0,247,249,239,0
hashimoto_young,7.5024,0,0,249,231,250,241,74,240,15,0,120,0,247,249,239,0
hashimoto_young,7.7027,0,0,249,231,250,241,66,239,114,0,120,0,246,249,239,1
hashimoto_young,7.9074,0,0,249,232,250,241,70,239,8,0,119,0,247,249,239,0
hashimoto_young,8.1083,0,0,249,231,250,241,70,239,0,0,120,0,247,249,239,0
hashimoto_young,8.309,0,0,249,228,250,241,86,241,9,0,120,0,247,249,239,0
hashimoto_young,8.5138,0,0,249,225,250,242,117,243,0,0,120,0,247,249,239,0
hashimoto_young,8.7148,0,0,249,227,250,241,113,243,0,0,121,0,247,249,239,0
