Label,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
ijitsu_elderly,1.0387,164,219,251,249,241,247,0,0,197,0,135,0,0,163,0,0
ijitsu_elderly,1.2435,173,234,251,249,240,246,0,0,211,178,134,0,0,32,0,0
ijitsu_elderly,1.4443,86,210,252,248,242,248,0,0,207,69,134,0,0,121,0,0
ijitsu_elderly,1.6489,23,189,252,249,243,248,0,0,196,0,134,0,0,191,0,0
ijitsu_elderly,1.8497,52,206,252,248,242,248,0,0,199,0,134,0,0,190,0,0
ijitsu_elderly,2.0544,70,220,252,249,241,248,0,0,201,0,135,0,0,186,0,0
ijitsu_elderly,2.2554,114,230,251,250,241,248,0,0,209,120,134,1,0,136,1,1
ijitsu_elderly,2.456,134,229,251,250,241,248,0,0,212,84,134,1,0,112,0,1
ijitsu_elderly,2.6608,181,230,251,249,241,247,0,0,214,43,134,0,0,103,0,0
ijitsu_elderly,2.8615,197,232,251,250,241,247,0,0,217,12,134,0,0,107,0,1
ijitsu_elderly,3.0662,198,236,251,250,240,247,0,0,219,10,134,0,0,104,0,0
ijitsu_elderly,3.267,204,241,251,250,239,247,0,0,221,0,134,0,0,89,0,0
ijitsu_elderly,3.4677,205,241,251,249,239,247,0,0,222,0,134,0,0,100,0,0
ijitsu_elderly,3.6725,204,241,251,250,239,246,0,0,222,0,135,0,0,106,0,0
ijitsu_elderly,3.8732,199,241,251,250,239,246,0,0,222,0,134,0,0,128,1,0
ijitsu_elderly,4.0781,185,237,251,250,240,247,0,0,221,0,134,0,0,133,0,0
ijitsu_elderly,4.2787,197,239,251,250,240,247,0,0,221,0,134,0,0,116,0,0
ijitsu_elderly,4.4834,196,238,251,250,240,247,0,0,221,0,134,0,0,147,0,0
ijitsu_elderly,4.6847,206,241,251,250,239,246,0,0,222,0,134,0,0,108,0,1
ijitsu_elderly,4.8849,206,239,251,250,240,246,0,0,219,0,135,0,0,139,0,0
ijitsu_elderly,5.0898,207,239,252,250,240,246,0,0,218,0,135,0,0,147,0,0
ijitsu_elderly,5.2905,163,233,252,249,241,247,0,0,214,0,135,0,0,185,0,0
ijitsu_elderly,5.4952,120,222,252,248,242,247,0,0,205,0,135,0,0,218,84,1
ijitsu_elderly,5.6959,119,224,252,248,242,247,0,0,204,0,135,0,0,226,109,0
