Label,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
yuzuki_young,0.0002,0,0,230,239,215,182,221,235,0,0,94,0,0,248,242,225
yuzuki_young,0.0003,0,0,236,242,215,189,216,233,0,0,97,0,0,248,242,222
yuzuki_young,0.0004,0,0,235,241,214,187,217,234,0,0,100,0,0,248,242,221
yuzuki_young,0.0004,1,0,230,240,214,185,219,234,0,0,91,0,0,248,242,223
yuzuki_young,0.0004,0,0,235,242,215,188,218,234,0,0,89,0,0,248,241,221
yuzuki_young,0.0005,0,0,228,241,214,187,220,235,0,0,80,0,0,248,242,223
yuzuki_young,0.0005,0,0,223,239,213,183,221,235,0,0,75,0,0,248,242,224
yuzuki_young,0.0005,0,0,225,240,212,183,221,235,0,0,68,0,0,248,242,225
yuzuki_young,0.0006,0,0,226,240,212,181,221,235,0,0,56,0,0,249,242,225
yuzuki_young,0.0006,0,0,228,240,211,183,219,234,0,0,57,0,0,249,240,223
yuzuki_young,0.0006,0,0,223,239,208,176,219,234,0,0,65,0,0,249,242,225
yuzuki_young,0.0006,0,0,216,237,208,168,221,235,0,0,82,0,0,249,242,225
yuzuki_young,0.0007,0,0,225,239,210,176,221,235,0,0,90,0,0,249,241,220
yuzuki_young,0.0007,0,0,224,239,209,172,220,234,0,0,85,0,0,249,241,220
yuzuki_young,0.0007,0,0,221,240,207,175,218,233,0,0,94,0,0,249,241,221
yuzuki_young,0.0008,0,0,160,241,197,189,218,235,0,0,113,0,0,247,243,225
yuzuki_young,0.0008,0,0,226,244,211,199,212,231,0,0,113,0,0,247,242,228
yuzuki_young,0.0008,0,0,240,245,220,216,213,235,0,0,114,0,0,244,242,226
yuzuki_young,0.0009,0,0,241,246,223,220,216,237,0,0,0,0,0,237,243,226
yuzuki_young,0.0009,0,0,238,245,222,218,217,236,0,0,0,0,0,241,243,231
yuzuki_young,0.0009,0,0,242,245,222,212,211,234,0,0,97,0,0,244,243,229
yuzuki_young,0.001,0,0,242,246,219,213,206,232,0,0,94,0,0,245,243,230
yuzuki_young,0.001,0,0,241,246,219,213,210,233,0,1,92,0,0,245,243,230
yuzuki_young,0.001,0,0,241,246,220,213,211,233,0,0,108,0,0,245,243,228
yuzuki_young,0.0011,0,0,241,246,220,214,211,233,0,0,110,0,0,245,242,227
yuzuki_young,0.0011,0,0,240,246,220,213,213,234,0,0,108,0,0,245,243,228
yuzuki_young,0.0011,0,0,239,245,221,213,215,234,0,0,101,0,0,245,243,229
yuzuki_young,0.0012,0,0,241,246,222,214,215,234,0,0,105,0,0,245,242,228
