Label,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
hashimoto_elderly,1.0197,189,244,246,239,142,248,140,205,244,118,236,248,250,249,205,135
hashimoto_elderly,1.2203,186,244,247,239,139,248,147,208,244,119,236,248,251,250,209,144
hashimoto_elderly,1.4255,192,244,247,239,142,248,136,204,244,121,237,249,250,249,202,124
hashimoto_elderly,1.6258,198,245,247,239,146,248,120,199,245,122,237,249,250,249,197,113
hashimoto_elderly,1.8305,202,245,247,240,149,248,106,195,245,122,237,249,250,249,194,106
hashimoto_elderly,2.0313,202,245,247,240,143,248,110,197,245,123,237,249,250,249,195,109
hashimoto_elderly,2.2321,201,245,247,240,148,248,116,198,245,122,237,249,250,249,197,114
hashimoto_elderly,2.4368,197,245,247,240,146,248,131,202,245,121,237,249,250,249,202,127
hashimoto_elderly,2.6376,194,245,247,240,147,248,137,204,244,121,237,248,250,249,206,140
hashimoto_elderly,2.8422,193,245,247,239,149,248,139,205,244,121,236,249,250,249,206,142
hashimoto_elderly,3.0431,197,245,247,240,149,248,125,202,245,123,237,249,250,249,202,130
hashimoto_elderly,3.2438,199,245,247,240,146,248,120,200,245,123,237,249,251,249,200,124
hashimoto_elderly,3.4486,201,245,247,240,141,248,112,198,245,123,237,249,250,249,198,115
hashimoto_elderly,3.6494,204,245,247,240,146,248,98,193,245,124,237,249,250,249,190,98
hashimoto_elderly,3.854,204,245,247,240,144,248,108,195,245,124,237,249,250,249,192,103
hashimoto_elderly,4.0548,202,245,247,240,142,248,119,199,245,122,237,249,250,249,199,120
hashimoto_elderly,4.2556,203,245,247,240,148,248,112,198,245,123,237,249,251,249,199,122
hashimoto_elderly,4.4603,207,245,247,240,141,248,83,190,245,125,237,249,250,249,191,98
hashimoto_elderly,4.661,208,246,247,240,141,248,74,185,246,128,237,249,250,249,185,89
hashimoto_elderly,4.8657,208,246,247,240,142,248,80,189,246,127,237,249,250,249,188,93
hashimoto_elderly,5.0665,208,245,247,240,147,248,87,191,245,125,237,249,250,249,191,99
hashimoto_elderly,5.2712,208,246,247,240,143,248,89,191,246,125,237,249,250,249,191,100
hashimoto_elderly,5.4721,208,246,247,240,144,248,79,188,246,127,237,249,250,249,190,96
hashimoto_elderly,5.6728,208,246,247,240,139,248,82,189,246,129,237,249,250,249,188,94
hashimoto_elderly,5.8775,208,246,247,240,134,248,83,191,246,128,237,249,250,249,190,100
hashimoto_elderly,6.0782,208,246,247,240,140,248,83,191,246,128,237,249,250,249,191,102
hashimoto_elderly,6.2829,205,245,247,240,148,248,106,196,245,124,237,249,250,249,195,111
hashimoto_elderly,6.4838,205,245,247,240,141,248,112,198,245,122,237,249,250,249,200,124
hashimoto_elderly,6.6846,205,245,247,240,139,248,110,198,245,123,237,249,250,249,198,122
hashimoto_elderly,6.8892,206,245,247,240,140,248,92,194,245,126,237,249,250,249,192,102
hashimoto_elderly,7.09,207,246,247,240,135,248,81,191,246,129,237,249,250,249,189,95
hashimoto_elderly,7.2947,209,246,247,240,139,248,65,185,246,133,237,249,250,249,184,88
hashimoto_elderly,7.4955,210,246,247,240,143,248,56,182,246,133,237,249,250,249,183,88
hashimoto_elderly,7.6962,211,246,247,240,136,248,49,180,246,135,238,249,250,249,177,82
hashimoto_elderly,7.901,213,246,247,240,145,248,5,169,246,137,237,249,250,249,172,80
hashimoto_elderly,8.1017,213,246,247,240,140,248,3,171,246,136,238,249,250,249,176,82
hashimoto_elderly,8.3065,214,246,247,240,139,248,0,162,246,137,238,249,250,249,165,73
hashimoto_elderly,8.5072,215,246,247,240,139,248,0,160,246,139,238,249,250,249,160,71
hashimoto_elderly,8.7119,216,246,247,240,151,248,0,148,247,143,238,249,250,249,136,59
hashimoto_elderly,8.9127,217,246,247,240,134,248,0,139,247,147,238,249,250,249,120,58
hashimoto_elderly,9.1134,218,247,247,240,147,248,0,120,247,150,238,249,250,249,111,54
hashimoto_elderly,9.3182,219,247,247,240,151,248,0,109,247,156,238,249,250,249,101,54
hashimoto_elderly,9.519,220,247,247,240,142,247,0,91,247,170,238,249,250,248,79,51
hashimoto_elderly,9.7237,221,247,247,240,142,247,0,79,247,172,238,249,250,248,82,53
hashimoto_elderly,9.9246,221,247,247,240,150,248,0,96,247,164,238,249,250,248,103,52
hashimoto_elderly,10.1251,220,247,247,240,141,248,0,112,247,153,238,249,250,249,127,55
hashimoto_elderly,10.33,220,247,247,240,140,248,0,117,247,147,238,249,250,249,142,60
hashimoto_elderly,10.5308,219,247,247,240,144,248,0,125,247,144,238,249,250,249,150,65
hashimoto_elderly,10.7355,216,246,247,240,141,248,0,151,246,134,238,249,250,249,171,79
hashimoto_elderly,10.9362,214,246,247,240,147,248,0,167,246,128,238,249,250,249,182,89
hashimoto_elderly,11.1409,216,246,247,240,143,248,0,160,246,131,238,249,250,249,178,83
hashimoto_elderly,11.3417,216,246,247,240,150,248,0,163,246,131,238,249,250,249,178,85
hashimoto_elderly,11.5425,216,246,247,240,144,248,0,164,246,129,238,249,250,249,181,90
