Label,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
hashimoto_young,1.0739,0,0,244,6,157,248,238,244,0,55,48,245,250,250,239,232
hashimoto_young,1.2785,12,131,245,185,152,248,230,240,142,80,144,246,250,250,237,229
hashimoto_young,1.4793,45,203,246,202,154,248,227,239,198,94,175,247,250,250,234,221
hashimoto_young,1.6801,49,207,246,204,158,248,227,239,201,94,179,246,250,250,234,220
hashimoto_young,1.8848,49,209,246,204,149,248,227,239,195,96,178,247,250,250,235,222
hashimoto_young,2.0856,50,210,246,204,158,248,227,239,203,98,184,247,250,250,235,222
hashimoto_young,2.2902,56,211,246,205,163,248,227,239,211,100,190,247,250,250,233,218
hashimoto_young,2.4911,88,226,247,212,163,248,217,234,225,105,202,247,250,250,228,204
hashimoto_young,2.6918,93,227,247,213,163,248,220,235,219,101,193,247,250,250,229,207
hashimoto_young,2.8965,66,223,246,214,160,248,226,238,202,98,173,247,250,250,232,213
hashimoto_young,3.0974,18,197,246,205,159,248,231,241,206,99,175,247,250,250,233,215
hashimoto_young,3.302,6,159,246,196,153,248,233,242,203,98,174,246,250,250,233,215
hashimoto_young,3.5028,0,101,246,187,159,248,235,243,188,98,143,246,250,250,233,215
hashimoto_young,3.7075,0,0,245,173,158,249,237,243,0,89,68,246,250,250,235,219
hashimoto_young,3.9083,0,0,245,152,159,249,238,244,0,86,50,246,250,250,236,223
hashimoto_young,4.109,0,0,245,138,157,249,238,244,0,83,56,246,250,250,237,226
hashimoto_young,4.3138,0,0,245,145,159,249,237,244,0,81,59,246,250,250,238,227
hashimoto_young,4.5145,0,0,245,127,152,249,238,244,0,75,53,246,250,250,238,229
hashimoto_young,4.7192,0,40,245,179,158,248,236,244,1,82,66,246,250,250,238,228
hashimoto_young,4.92,0,72,245,183,157,248,235,243,9,88,77,246,250,250,238,228
hashimoto_young,5.1207,0,166,246,195,151,248,233,243,149,93,125,246,250,250,237,226
hashimoto_young,5.3255,2,179,246,199,159,248,232,242,183,96,153,247,250,250,235,223
hashimoto_young,5.5263,12,189,246,202,154,248,232,242,189,100,156,247,250,250,235,221
hashimoto_young,5.731,19,193,246,203,151,248,232,242,195,101,166,247,250,250,234,220
hashimoto_young,5.9318,10,184,246,202,159,249,232,242,187,101,158,247,250,250,235,222
hashimoto_young,6.1365,17,191,246,203,154,249,232,242,197,102,168,247,250,250,234,221
hashimoto_young,6.3373,14,188,246,202,154,248,232,242,194,102,166,247,250,250,235,222
hashimoto_young,6.5381,17,190,246,203,157,249,232,242,196,102,167,247,250,250,235,222
hashimoto_young,6.7428,22,193,246,204,158,249,232,242,196,100,167,247,250,250,235,221
hashimoto_young,6.9435,23,193,246,204,159,249,232,242,197,101,169,247,250,250,235,221
hashimoto_young,7.1483,8,180,246,202,154,249,233,242,184,100,156,247,250,250,235,222
hashimoto_young,7.349,2,166,246,201,154,249,234,243,170,99,139,247,250,250,236,223
hashimoto_young,7.5497,4,174,246,202,154,249,234,243,167,99,133,246,250,250,235,222
hashimoto_young,7.7545,5,178,246,203,158,249,234,243,170,99,136,246,250,250,235,222
hashimoto_young,7.9553,11,183,246,204,162,249,234,243,179,99,143,247,250,250,235,221
hashimoto_young,8.1599,13,189,246,205,165,249,234,243,183,99,145,247,250,250,235,221
hashimoto_young,8.3608,13,183,246,204,156,249,234,243,175,99,140,247,250,250,235,221
hashimoto_young,8.5655,15,184,246,204,159,249,234,243,181,100,146,247,250,250,235,221
hashimoto_young,8.7663,13,182,246,204,158,249,234,243,175,100,142,247,250,250,235,222
hashimoto_young,8.967,23,198,246,207,159,249,233,242,192,101,157,247,250,250,235,220
hashimoto_young,9.1718,24,200,246,207,151,249,233,242,196,101,161,247,250,250,234,219
hashimoto_young,9.3729,26,199,246,207,159,249,233,242,189,101,154,247,250,250,235,220
hashimoto_young,9.5773,32,207,246,208,153,249,232,242,201,101,166,247,250,250,233,216
hashimoto_young,9.778,53,219,247,212,150,249,229,241,210,103,175,247,250,250,231,210
hashimoto_young,9.9787,57,219,247,213,154,249,229,241,209,103,175,247,250,250,232,211
hashimoto_young,10.1836,64,221,247,213,154,249,228,240,216,104,181,247,250,250,228,201
hashimoto_young,10.3842,83,228,247,216,146,248,224,238,226,107,193,248,250,249,221,182
hashimoto_young,10.5889,99,230,247,219,154,248,223,237,228,110,195,248,250,249,218,175
hashimoto_young,10.7897,104,231,247,220,152,248,223,237,228,111,198,248,250,249,219,177
hashimoto_young,10.9904,103,231,247,219,157,248,222,237,228,111,200,248,250,249,221,182
hashimoto_young,11.1954,71,227,247,217,155,248,225,238,224,107,197,247,250,250,226,196
hashimoto_young,11.3961,64,223,247,216,157,248,227,240,217,104,192,247,250,250,230,206
hashimoto_young,11.6007,60,221,247,216,152,248,227,240,214,104,190,247,250,250,231,208
hashimoto_young,11.8015,53,220,247,216,152,248,228,240,211,104,188,247,250,250,231,211
hashimoto_young,12.0062,51,218,247,215,155,249,229,241,207,104,183,247,250,250,232,212
