Label,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
niihara_elderly,1.0162,228,242,247,219,104,234,171,244,219,229,204,244,230,237,248,238
niihara_elderly,1.2208,228,242,247,219,111,234,177,244,219,229,205,244,230,237,248,238
niihara_elderly,1.4217,228,242,247,219,107,234,176,244,219,229,205,244,230,237,248,238
niihara_elderly,1.6224,228,241,247,219,107,234,179,244,221,229,206,244,231,237,248,238
niihara_elderly,1.8271,227,241,247,219,110,235,185,244,220,229,206,244,231,237,248,238
niihara_elderly,2.0278,228,244,247,219,109,231,109,242,221,229,206,244,231,237,248,238
niihara_elderly,2.2326,228,242,247,218,114,234,170,244,220,227,206,244,231,237,248,239
niihara_elderly,2.4334,227,240,247,218,109,235,196,245,219,226,206,243,230,235,248,238
niihara_elderly,2.6341,228,241,247,218,107,234,191,244,222,227,206,243,231,236,248,238
niihara_elderly,2.8389,228,242,247,218,107,234,184,244,222,228,206,244,231,237,248,238
niihara_elderly,3.0396,229,242,247,218,106,234,183,244,223,228,207,244,231,236,248,238
niihara_elderly,3.2443,228,242,247,219,114,233,178,244,223,228,207,244,231,237,248,238
niihara_elderly,3.4451,228,242,247,219,115,234,187,244,221,228,207,243,231,236,248,238
niihara_elderly,3.6498,228,242,247,219,109,234,187,244,222,228,207,243,231,236,248,238
niihara_elderly,3.8506,228,241,247,218,110,235,191,245,219,227,206,243,231,236,248,238
niihara_elderly,4.0514,228,239,247,218,108,235,197,245,220,227,206,243,231,236,248,239
niihara_elderly,4.256,228,240,247,218,111,236,196,245,220,228,206,243,231,236,248,238
niihara_elderly,4.4569,228,239,247,218,109,236,199,245,220,228,206,243,231,236,248,238
niihara_elderly,4.6616,227,239,247,218,108,236,199,245,220,228,207,243,231,236,248,239
niihara_elderly,4.8624,228,241,247,218,110,235,190,245,222,228,207,243,231,236,248,239
niihara_elderly,5.0631,228,241,247,219,108,235,191,245,223,228,207,243,231,236,248,238
niihara_elderly,5.2679,227,240,247,218,114,236,197,245,221,228,207,243,231,236,248,239
niihara_elderly,5.4686,228,240,247,218,109,236,198,245,221,228,207,243,231,236,248,239
niihara_elderly,5.6733,228,240,247,219,108,236,198,245,221,228,207,243,231,236,248,239
niihara_elderly,5.8741,228,241,247,219,109,235,194,245,222,228,208,243,231,236,248,239
niihara_elderly,6.0749,228,242,247,219,113,235,187,244,223,228,208,244,231,236,248,238
niihara_elderly,6.2796,228,242,247,219,105,235,181,244,223,229,208,244,231,237,248,239
niihara_elderly,6.4803,228,242,247,219,107,235,183,244,223,228,208,244,231,236,248,239
niihara_elderly,6.685,228,242,247,219,108,235,186,244,222,228,208,244,231,237,248,239
niihara_elderly,6.8858,228,241,247,219,108,235,190,245,221,228,208,244,231,236,248,239
niihara_elderly,7.0905,228,241,247,219,108,235,190,245,222,228,208,244,231,236,248,239
niihara_elderly,7.2914,228,241,247,219,107,235,190,245,223,228,208,244,231,236,248,238
niihara_elderly,7.4921,228,242,247,219,110,235,181,244,223,229,208,244,231,237,248,238
niihara_elderly,7.6969,228,242,247,219,108,235,181,244,224,229,208,244,231,237,248,238
niihara_elderly,7.8976,228,242,247,219,111,235,175,244,225,230,209,244,231,237,248,238
niihara_elderly,8.1023,228,243,247,219,105,234,163,244,226,231,209,244,231,237,248,237
niihara_elderly,8.3032,228,243,247,219,115,235,175,244,225,229,209,244,231,236,248,237
niihara_elderly,8.5038,228,243,247,219,115,234,153,243,226,229,209,244,231,236,248,238
