Label,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
niihara_elderly,1.1895,245,242,248,231,148,125,142,235,248,244,227,245,182,220,242,216
niihara_elderly,1.3902,245,243,248,231,160,123,125,234,248,244,227,245,180,220,242,212
niihara_elderly,1.5949,245,243,248,231,158,123,124,234,248,244,227,245,182,222,242,215
niihara_elderly,1.7956,245,243,248,231,159,120,116,234,248,244,227,246,182,222,242,215
niihara_elderly,1.9964,245,243,248,231,155,114,45,227,248,244,227,245,180,221,241,210
niihara_elderly,2.2012,245,243,248,231,159,118,78,228,248,244,227,245,179,219,242,211
niihara_elderly,2.4019,245,243,248,231,160,119,86,229,248,244,227,245,177,217,241,209
niihara_elderly,2.6066,245,243,248,231,161,115,62,228,248,244,227,245,177,218,241,209
niihara_elderly,2.8074,245,243,248,230,159,113,56,227,248,244,227,245,180,220,242,214
niihara_elderly,3.0081,245,243,248,231,158,117,92,230,248,244,227,245,182,223,242,218
niihara_elderly,3.2129,245,243,248,230,159,118,112,231,248,244,227,246,180,223,242,218
niihara_elderly,3.4137,245,243,248,231,161,119,118,232,247,243,227,245,187,223,243,224
niihara_elderly,3.6183,245,243,248,231,161,120,120,232,247,242,227,245,188,223,243,225
niihara_elderly,3.8191,245,243,248,231,160,117,107,230,248,243,227,245,184,222,242,221
niihara_elderly,4.0239,245,245,248,232,151,118,13,226,248,244,227,245,165,217,241,204
niihara_elderly,4.2247,245,245,248,232,154,122,60,229,248,243,227,245,176,218,242,216
niihara_elderly,4.4254,245,244,248,232,158,125,108,232,247,243,227,245,184,221,243,222
niihara_elderly,4.6302,245,243,248,231,157,121,93,231,247,242,227,245,188,223,243,224
niihara_elderly,4.8309,245,243,248,230,156,115,64,229,247,243,227,245,188,223,243,224
niihara_elderly,5.0356,245,243,248,230,158,115,77,229,248,243,227,245,189,224,243,224
niihara_elderly,5.2363,245,243,248,230,157,120,107,231,247,242,227,245,189,222,243,224
niihara_elderly,5.4372,245,243,248,230,160,113,105,229,248,243,227,245,181,217,242,215
niihara_elderly,5.6419,245,244,248,230,156,106,19,223,248,243,227,245,174,220,241,212
niihara_elderly,5.8426,245,244,248,230,158,104,41,225,248,244,227,245,179,222,242,216
niihara_elderly,6.0473,245,243,248,230,159,111,90,229,248,243,227,245,187,224,243,223
niihara_elderly,6.2482,245,243,248,230,161,109,75,229,248,243,227,245,189,225,243,223
niihara_elderly,6.4528,245,243,248,230,157,106,22,226,248,244,227,245,183,224,242,220
niihara_elderly,6.6537,245,244,248,230,158,106,17,224,248,244,227,245,183,224,242,219
niihara_elderly,6.8543,245,244,248,230,158,110,29,227,248,244,227,245,183,224,242,220
niihara_elderly,7.0591,245,244,248,230,158,108,19,225,248,244,227,245,178,221,242,214
niihara_elderly,7.2599,245,244,248,230,155,104,3,223,249,244,228,245,187,204,241,201
niihara_elderly,7.4646,245,244,248,230,153,109,11,227,249,244,228,245,189,213,242,214
niihara_elderly,7.6654,245,244,248,230,153,114,39,230,249,244,228,245,190,215,242,217
niihara_elderly,7.8661,245,244,248,230,154,109,16,228,249,244,228,245,188,214,242,214
niihara_elderly,8.0709,245,245,248,230,151,107,7,224,249,244,228,245,186,212,241,206
niihara_elderly,8.2716,245,244,248,230,154,112,24,228,249,244,228,245,186,212,242,212
niihara_elderly,8.4763,245,243,248,230,155,113,72,231,248,244,228,245,186,217,242,216
niihara_elderly,8.6771,245,244,248,230,152,109,24,229,248,244,228,245,187,217,242,216
niihara_elderly,8.8818,245,244,248,230,153,112,66,230,248,244,228,245,188,218,242,217
niihara_elderly,9.0826,245,244,248,230,156,110,48,229,248,244,228,245,187,218,242,215
niihara_elderly,9.2833,245,244,248,230,153,106,12,226,249,244,228,245,182,216,241,208
niihara_elderly,9.4882,245,244,248,230,155,109,13,225,248,244,228,245,178,215,241,205
niihara_elderly,9.6888,245,244,248,230,153,110,23,228,249,244,228,245,180,208,241,199
niihara_elderly,9.8935,245,244,248,230,155,114,67,231,248,244,228,245,184,211,242,205
niihara_elderly,10.0943,245,244,248,230,152,115,80,231,248,244,228,245,185,214,242,208
niihara_elderly,10.2952,245,244,248,230,153,113,65,231,249,244,228,245,185,215,242,207
niihara_elderly,10.4998,245,244,248,230,152,111,40,229,249,244,228,245,185,215,242,208
niihara_elderly,10.7006,245,244,248,230,151,109,35,229,249,244,228,245,184,211,241,204
niihara_elderly,10.9053,245,244,248,230,154,112,70,231,249,244,228,245,187,212,242,209
niihara_elderly,11.1061,245,244,248,230,154,114,68,231,249,244,228,245,188,214,242,210
niihara_elderly,11.3108,245,244,248,230,151,111,31,229,249,244,229,245,192,206,242,207
niihara_elderly,11.5117,245,244,248,230,151,110,13,228,249,244,229,245,191,206,242,207
niihara_elderly,11.7123,245,243,248,231,156,120,101,233,249,244,228,245,192,212,242,214
niihara_elderly,11.9171,245,243,248,231,155,121,130,234,249,244,228,245,191,215,242,217
niihara_elderly,12.1178,245,243,248,231,155,121,121,234,249,244,228,245,194,218,243,219
niihara_elderly,12.3226,245,243,248,231,151,120,116,234,249,244,228,245,194,218,243,218
niihara_elderly,12.5233,245,243,248,230,153,114,102,233,249,244,228,245,192,217,242,217
niihara_elderly,12.724,245,244,248,231,154,113,83,231,249,244,228,245,191,215,242,213
niihara_elderly,12.9288,245,244,248,231,153,115,102,232,249,244,228,245,191,211,242,208
niihara_elderly,13.1295,245,244,248,231,155,118,110,233,249,244,228,245,188,211,242,207
niihara_elderly,13.3343,245,244,248,231,156,115,97,232,249,244,228,245,190,213,242,211
niihara_elderly,13.5351,246,244,248,231,157,112,72,231,249,244,228,245,190,214,242,210
niihara_elderly,13.7398,245,245,248,231,149,109,14,226,249,244,228,245,180,213,241,202
niihara_elderly,13.9407,245,244,248,231,148,113,61,231,249,244,228,245,187,213,242,207
niihara_elderly,14.1413,245,244,248,231,151,116,95,232,249,244,228,245,190,214,242,211
niihara_elderly,14.3461,245,244,248,231,148,122,117,234,249,244,228,245,192,215,242,214
niihara_elderly,14.5469,245,244,248,231,151,125,125,235,249,244,228,245,192,216,243,216
niihara_elderly,14.7516,245,243,248,231,153,124,127,235,249,244,228,245,194,215,243,217
niihara_elderly,14.9524,245,243,248,231,150,124,132,235,249,244,228,245,196,216,243,218
niihara_elderly,15.153,245,243,248,231,151,126,133,235,248,243,228,245,195,213,243,216
niihara_elderly,15.3579,245,243,248,231,147,126,135,235,248,243,228,245,195,213,243,217
niihara_elderly,15.5586,245,243,248,231,149,124,127,234,248,243,228,245,192,211,243,214
niihara_elderly,15.7632,245,244,248,231,153,121,115,233,249,243,228,245,190,210,242,210
niihara_elderly,15.964,245,244,248,231,153,120,112,233,249,244,228,245,186,210,242,209
niihara_elderly,16.1647,245,244,248,231,150,122,119,233,249,244,228,245,180,212,242,206
niihara_elderly,16.3696,245,243,248,231,156,124,126,234,248,244,228,245,190,217,243,217
niihara_elderly,16.5703,245,243,248,231,155,121,119,234,248,244,228,245,192,219,243,220
niihara_elderly,16.775,245,243,248,231,155,119,112,233,248,244,228,245,194,219,243,220
niihara_elderly,16.9758,245,244,248,231,156,118,108,233,248,244,228,245,193,219,243,219
niihara_elderly,17.1805,245,244,248,231,155,117,97,232,248,244,228,245,191,217,242,217
niihara_elderly,17.3813,245,244,248,231,156,120,112,232,248,244,228,245,190,215,242,216
niihara_elderly,17.5821,245,244,248,231,154,120,118,233,248,244,228,245,191,214,242,216
niihara_elderly,17.7868,245,244,248,231,153,121,116,232,248,244,228,245,191,214,242,216
niihara_elderly,17.9875,245,244,248,231,149,114,96,231,249,244,228,245,183,212,242,206
niihara_elderly,18.1922,245,244,248,231,154,119,96,231,249,244,228,245,183,213,242,208
niihara_elderly,18.393,245,244,248,231,156,123,115,233,248,244,228,245,192,218,243,219
niihara_elderly,18.5938,245,244,248,231,154,117,94,232,248,244,228,245,194,219,243,221
niihara_elderly,18.7985,245,244,248,231,153,113,62,230,248,244,228,245,192,220,242,218
niihara_elderly,18.9992,245,244,248,231,153,112,28,229,248,244,228,245,186,218,242,212
niihara_elderly,19.2039,245,244,248,231,150,112,20,228,249,244,228,245,179,216,241,204
niihara_elderly,19.4048,245,244,248,231,153,116,68,231,249,244,228,245,189,218,242,213
niihara_elderly,19.6095,245,244,248,231,153,116,71,231,248,244,228,245,189,217,242,214
niihara_elderly,19.8103,245,244,248,231,154,117,66,231,248,244,228,245,190,214,242,210
niihara_elderly,20.011,245,245,248,231,152,112,18,228,249,244,228,245,181,212,241,199
niihara_elderly,20.2158,245,244,248,231,149,118,83,232,249,244,228,245,186,211,242,206
niihara_elderly,20.4165,245,244,248,231,152,117,84,232,248,243,228,245,189,214,242,213
niihara_elderly,20.6212,245,245,248,231,148,114,44,230,248,244,228,245,188,215,242,211
niihara_elderly,20.822,245,245,248,231,146,110,18,226,249,244,228,245,181,213,241,203
niihara_elderly,21.0227,246,245,248,231,148,110,18,226,249,244,228,245,181,214,241,202
niihara_elderly,21.2275,245,245,248,231,145,112,19,227,249,244,228,245,182,215,241,204
niihara_elderly,21.4283,245,245,248,231,144,112,20,228,249,244,228,245,183,216,241,206
niihara_elderly,21.6329,245,245,248,229,143,104,18,225,249,245,228,246,169,215,240,194
niihara_elderly,21.8338,245,244,248,230,142,108,20,228,249,244,228,246,177,216,241,201
niihara_elderly,22.0384,245,244,248,230,145,110,22,229,249,244,228,245,182,216,241,205
niihara_elderly,22.2392,245,244,248,230,140,112,23,229,249,244,228,245,182,214,241,203
niihara_elderly,22.44,245,245,248,230,151,112,21,228,249,244,228,245,176,210,241,195
